Date,Open,High,Low,Close,Volume
2069-12-08,457.0,457.0,452.0,454.5,17955
2069-12-09,449.5,466.0,447.5,464.5,74255
2069-12-10,466.0,466.0,457.0,459.75,52610
2069-12-11,459.0,460.0,454.0,455.5,34965
2069-12-12,454.5,457.5,452.5,456.25,29860
2069-12-13,456.5,460.5,453.25,458.5,36730
2069-12-14,457.0,467.5,455.0,465.0,64080
2069-12-15,465.0,465.75,461.0,464.0,35075
2069-12-16,464.0,465.5,453.0,455.0,63770
2069-12-17,455.0,458.25,451.0,456.0,56485
2069-12-18,456.0,459.0,452.0,453.25,33005
2069-12-19,452.5,459.0,448.5,452.25,60885
2069-12-20,450.0,451.5,446.0,447.25,54085
2069-12-21,446.5,449.0,439.5,446.0,67680
2069-12-22,447.0,447.0,440.0,442.5,45215
2069-12-23,449.5,453.5,448.0,452.75,56755
2069-12-24,437.0,437.5,430.5,434.5,76295
2069-12-25,436.0,436.0,423.5,424.0,68070
2069-12-26,422.0,422.0,412.0,417.0,87970
2069-12-27,417.0,422.5,417.0,418.5,46265
2069-12-28,417.0,425.0,414.5,424.25,70125
2069-12-29,425.0,426.5,415.5,416.75,66880
2069-12-30,416.0,425.0,415.5,421.0,42065
2069-12-31,419.5,428.5,417.5,426.5,43900
2070-01-01,425.0,433.5,425.0,429.5,61790
2070-01-02,429.5,432.5,427.0,429.5,35275
2070-01-03,429.0,433.5,427.0,429.25,42830
2070-01-04,429.5,432.0,428.0,431.5,38170
2070-01-05,430.0,436.5,425.0,436.0,76610
2070-01-06,435.0,438.0,432.0,433.75,54585
2070-01-07,434.5,439.0,421.5,422.5,69945
2070-01-08,423.5,425.0,417.0,420.0,66210
2070-01-09,420.5,423.0,413.5,421.0,58420
2070-01-10,421.75,423.5,418.5,422.5,27795
2070-01-11,423.0,429.0,419.5,428.5,48205
2070-01-12,429.5,432.5,425.0,427.0,40440
2070-01-13,427.5,428.5,422.5,424.0,33920
2070-01-14,423.5,430.0,419.5,424.5,61325
2070-01-15,430.25,433.0,421.0,421.75,57150
2070-01-16,420.75,424.0,417.0,417.25,55550
2070-01-17,417.0,417.5,409.0,411.0,81780
2070-01-18,408.0,413.0,402.5,404.75,66210
2070-01-19,404.5,406.0,400.0,400.5,51015
2070-01-20,400.0,401.5,392.0,399.5,70440
2070-01-21,396.0,396.0,391.0,394.0,25500
2070-01-22,384.0,387.0,381.5,384.25,33965
2070-01-23,384.5,396.0,384.0,395.0,62820
2070-01-24,396.75,402.5,388.0,388.5,83225
2070-01-25,388.0,392.5,386.0,390.0,52200
2070-01-26,396.5,401.0,391.0,392.25,59750
2070-01-27,394.0,395.5,386.5,390.5,52210
2070-01-28,390.25,391.0,383.5,384.25,35055
2070-01-29,379.0,380.0,374.5,377.25,34255
2070-01-30,376.5,377.0,371.0,372.0,57955
2070-01-31,371.0,377.5,369.0,370.25,55475
2070-02-01,370.5,376.0,366.5,375.5,43305
2070-02-02,376.5,382.0,374.5,379.75,40630
2070-02-03,379.0,380.0,373.75,374.25,29305
