Index,Open,High,Low,Close,Volume
2069-12-08,95.781197,96.125,95.781197,96.093803,51398
2069-12-09,96.3125,96.375,96.031197,96.1875,41731
2069-12-10,95.781197,95.906197,95.6875,95.781197,45444
2069-12-11,96.218803,96.281197,96.0,96.093803,53535
2069-12-12,96.031197,96.156197,95.843803,95.968803,50578
2069-12-13,96.468803,96.5625,95.8125,95.9375,91654
2069-12-14,96.093803,96.093803,95.6875,95.718803,81890
2069-12-15,95.5625,95.843803,95.5625,95.6875,75691
2069-12-16,95.093803,95.375,94.906197,95.031197,53564
2069-12-17,94.875,95.0625,94.468803,94.5,100128
2069-12-18,95.218803,95.281197,94.25,94.625,42362
2069-12-19,94.1875,94.5625,93.75,94.5,43611
2069-12-20,94.1875,94.406197,93.875,94.031197,24469
2069-12-21,93.6875,93.75,93.343803,93.468803,24612
2069-12-22,93.156197,93.75,92.5625,93.531197,26206
2069-12-23,93.0625,93.218803,92.718803,92.843803,31723
2069-12-24,93.281197,93.75,93.25,93.593803,8220
2069-12-25,92.4375,93.375,92.343803,93.218803,30653
2069-12-26,93.281197,93.343803,93.1875,93.281197,12240
2069-12-27,94.281197,94.3125,93.75,93.8125,7277
2069-12-28,94.6875,94.75,94.531197,94.656197,3267
2069-12-29,94.968803,95.156197,94.718803,94.843803,3267
2069-12-30,93.875,94.125,93.843803,93.968803,36585
2069-12-31,93.843803,94.031197,93.656197,94.0,25501
2070-01-01,93.5625,94.1875,93.343803,93.906197,62295
2070-01-02,93.625,94.0625,93.531197,94.0,89003
2070-01-03,93.9375,94.406197,93.875,94.218803,95492
2070-01-04,94.75,95.0,94.531197,94.593803,62655
2070-01-05,95.156197,95.406197,94.9375,95.031197,45393
2070-01-06,94.906197,95.375,94.8125,95.281197,54485
2070-01-07,95.031197,95.281197,94.968803,95.1875,59048
2070-01-08,95.1875,95.343803,95.0,95.125,66310
2070-01-09,94.843803,95.718803,94.8125,95.5625,116130
2070-01-10,96.0,96.0,95.6875,95.75,36610
2070-01-11,95.75,95.906197,95.6875,95.718803,43703
2070-01-12,96.718803,96.9375,96.5,96.5625,69818
2070-01-13,96.593803,96.656197,96.156197,96.281197,66831
2070-01-14,95.75,96.218803,95.656197,96.093803,78
2070-01-15,96.1875,96.3125,96.031197,96.125,33835
2070-01-16,95.6875,95.843803,95.343803,95.625,90396
2070-01-17,95.718803,96.0625,95.656197,96.031197,76657
2070-01-18,95.906197,96.125,95.875,95.9375,60762
2070-01-19,95.9375,96.0,95.781197,95.8125,23447
2070-01-20,96.468803,96.5,96.218803,96.25,46052
2070-01-21,98.625,98.75,98.4375,98.5625,45829
2070-01-22,98.8125,99.0625,98.6875,98.9375,59573
2070-01-23,98.5,98.75,98.218803,98.718803,90365
2070-01-24,98.625,98.8125,98.5625,98.593803,77326
2070-01-25,98.781197,98.9375,98.75,98.843803,74198
2070-01-26,98.906197,99.156197,98.8125,99.0,58441
2070-01-27,99.031197,99.375,98.9375,99.0,132677
2070-01-28,99.0,99.3125,98.875,99.0,98596
2070-01-29,99.5,99.531303,99.4375,99.4375,432970
2070-01-30,99.5,99.625,99.406303,99.625,222219
2070-01-31,99.375,99.5,99.3125,99.343803,513415
2070-02-01,99.0625,99.25,99.0625,99.218803,580624
2070-02-02,98.8125,99.468803,98.406303,98.625,252073
2070-02-03,98.843803,99.25,98.8125,99.125,12181
2070-02-04,98.468803,98.531197,98.25,98.375,17576
2070-02-05,98.968803,98.968803,98.0,98.0625,20230
