dataset,asset,rows,start_date,end_date,close_start,close_end,total_return,mean_daily_log_return,annualized_volatility,min_close,max_close,avg_volume,missing_close,missing_volume
PART1,01,1000,2069-12-08,2072-09-02,25.11,14.62,-0.41776184786937476,-0.0005414171359838446,0.21092655208851713,14.57,29.56,10134.559,0,0
PART1,02,1000,2069-12-08,2072-09-02,367.5,206.0,-0.43945578231292515,-0.0005794265764397498,0.23944939520264555,174.75,367.5,62290.56,0,0
PART1,03,1000,2069-12-08,2072-09-02,0.7288,0.654,-0.10263446761800221,-0.00010840039488343551,0.06228730827126215,0.6349,0.7511,12236.76,0,0
PART1,04,1000,2069-12-08,2072-09-02,22.05,32.92,0.4929705215419502,0.00040116894285887434,0.378598953581878,10.72,37.2,58778.937,0,0
PART1,05,1000,2069-12-08,2072-09-02,86.69,116.62,0.3452532010612528,0.00029687912804150123,0.0802585433630228,86.08,118.45,1923.553,0,0
PART1,06,1000,2069-12-08,2072-09-02,5.077,4.778,-0.05889304707504439,-6.0759246307948096e-05,0.24456290398074423,4.185,7.28,13623.751,0,0
PART1,07,1000,2069-12-08,2072-09-02,99.1875,100.0625,0.008821676118462518,8.791784254561004e-06,0.024830148789805315,98.1561966,103.5468979,3430.314,0,0
PART1,08,1000,2069-12-08,2072-09-02,96.093803,100.9375,0.05040592471920391,4.922591034186014e-05,0.061903370371620116,92.843803,110.9375,83147.511,0,0
PART1,09,1000,2069-12-08,2072-09-02,88.625,100.3125,0.13187588152327212,0.00012400032880084417,0.09460080293187914,85.125,111.1562,333891.116,0,0
PART1,10,1000,2069-12-08,2072-09-02,454.5,254.75,-0.43949394939493946,-0.0005794947362509532,0.25204860299682863,233.5,465.0,22114.497,0,0
PART2,01,1000,2072-09-03,2075-05-30,14.81,25.04,0.690749493585415,0.000525697615567754,0.2914891323937838,14.41,34.85,12564.46,0,0
PART2,02,1000,2072-09-03,2075-05-30,206.0,235.5,0.14320388349514568,0.0001339687133802731,0.2695387166457142,189.25,330.5,42814.893,0,0
PART2,03,1000,2072-09-03,2075-05-30,0.6573,0.8319,0.26563213144682796,0.000235807513533846,0.07832233160394741,0.6203,0.848,12388.517,0,0
PART2,04,1000,2072-09-03,2075-05-30,33.12,60.62,0.8303140096618358,0.0006050926347473459,0.44325294188212994,17.97,61.28,88930.551,0,0
PART2,05,1000,2072-09-03,2075-05-30,115.5,88.28,-0.2356709956709957,-0.00026902597454785956,0.089851226297111,80.6,121.21,1844.42,0,0
PART2,06,1000,2072-09-03,2075-05-30,4.798,7.085,0.47665694039182993,0.0003901708796047435,0.2785908846684182,4.028,8.22,12361.015,0,0
PART2,07,1000,2072-09-03,2075-05-30,100.1561966,103.5234375,0.033619895865734106,3.310020316020463e-05,0.024966905228399994,99.9766006,108.5156021,18335.88,0,0
PART2,08,1000,2072-09-03,2075-05-30,100.843803,111.84375,0.10907905763926817,0.0001036336267754385,0.07724356234740473,100.0625,119.703102,388146.138,0,0
PART2,09,1000,2072-09-03,2075-05-30,99.9375,116.5625,0.16635397123202011,0.00015403665589986337,0.11295418234145471,98.0312,121.4062,153766.423,0,0
PART2,10,1000,2072-09-03,2075-05-30,254.75,332.5,0.30520117762512267,0.00026662381180488125,0.281799801432803,254.5,422.75,20150.014,0,0
PART3,01,1000,2075-05-31,2078-02-23,25.43,36.02,0.4164372788045616,0.00034849325356734926,0.28902920865398896,20.87,70.82,28929.409,0,0
PART3,02,1000,2075-05-31,2078-02-23,244.75,356.5,0.45658835546476007,0.00037647343187560765,0.34998521594411036,192.75,768.25,111086.255,0,0
PART3,03,1000,2075-05-31,2078-02-23,0.8301,0.8709,0.04915070473436933,4.802901325095566e-05,0.11748098140990829,0.7717,1.0837,37024.176,0,0
PART3,04,1000,2075-05-31,2078-02-23,60.01,69.31,0.1549741709715049,0.0001442222031316058,0.4371393985807668,33.98,145.29,209088.074,0,0
PART3,05,1000,2075-05-31,2078-02-23,89.17,79.875,-0.10423909386564989,-0.00011019193938847885,0.09104541415704104,71.54,92.26,4089.709,0,0
PART3,06,1000,2075-05-31,2078-02-23,7.07,13.76,0.9462517680339462,0.000666571924521235,0.4031212849249439,6.73,20.785,22261.59,0,0
PART3,07,1000,2075-05-31,2078-02-23,103.515625,108.2265625,0.045509433962264145,4.454881205556822e-05,0.021526808825285692,101.1796875,109.3046875,182451.018,0,0
