"strategy","asset","asset_tag","oos_true_pd","full_true_pd","oos_activity_pct","full_activity_pct","is_oos_gap","eligible","tier","rank_within_strategy","eligible_rank_within_strategy","note","best_params_path","oos_run_dir","full_run_dir"
"tf","01","asset01","0.7037229609654372","2.7616578348846286","5.666666666666667","83.88388388388388","3.824346107119955","1","A","1","1","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset01\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset01\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset01\best_runs\run_20260313_100-full"
"tf","06","asset06","0.2158497465304697","1.9492297999849189","18.729096989966557","58.55855855855856","0.48264854520216227","1","A","2","2","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset06\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset06\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset06\best_runs\run_20260313_100-full"
"tf","07","asset07","-0.015222858725333438","0.7492985514063094","16.333333333333332","11.3","1.0134183394013487","0","X","3","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset07\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset07\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset07\best_runs\run_20260313_100-full"
"tf","03","asset03","-0.16431722179647656","1.5731226831606184","22.073578595317727","67.56756756756756","2.0331391959708256","0","X","4","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset03\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset03\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset03\best_runs\run_20260313_100-full"
"tf","04","asset04","-0.1722018272877921","0.03697727338778082","20.066889632107024","10.21021021021021","1.9125583580845993","0","X","5","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset04\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset04\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset04\best_runs\run_20260313_100-full"
"tf","08","asset08","-0.1985054000470041","0.2727003919937412","9.0","65.46546546546547","1.3924142978156704","0","X","6","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset08\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset08\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset08\best_runs\run_20260313_100-full"
"tf","09","asset09","-0.20167070241367357","0.5405314774207425","6.354515050167224","63.46346346346346","1.968594862469605","0","X","7","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset09\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset09\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset09\best_runs\run_20260313_100-full"
"tf","10","asset10","-0.5419665682844658","1.8223103500974236","32.10702341137124","83.08308308308308","2.5220623855099307","0","X","8","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset10\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset10\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\tf\asset10\best_runs\run_20260314_100-full"
"tf","02","asset02","-0.7351170245666467","1.1908648975193814","8.695652173913043","70.47047047047047","3.5551132710299482","0","X","9","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset02\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset02\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset02\best_runs\run_20260313_100-full"
"tf","05","asset05","-1.0","1.9006043845441918","1.6666666666666667","9.3","3.9517306325932546","0","X","10","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\tf\asset05\grid_search\best_params.json","output\cross_asset_scan_v1\tf\asset05\best_runs\run_20260313_30-oos","output\cross_asset_scan_v1\tf\asset05\best_runs\run_20260313_100-full"
"mr","06","asset06","2.9665932810316233","8.969664573314862","8.666666666666666","12.2","2.756677647449652","1","A","1","1","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset06\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset06\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset06\best_runs\run_20260314_100-full"
"mr","09","asset09","2.351005628774999","4.454026451738292","6.688963210702341","4.804804804804805","0.5159895314692533","1","A","2","2","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset09\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset09\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset09\best_runs\run_20260314_100-full"
"mr","10","asset10","1.2131497633668438","4.270006314971333","5.333333333333333","5.6","2.2496574842771793","1","B","3","3","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset10\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset10\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset10\best_runs\run_20260314_100-full"
"mr","03","asset03","0.38986122709890936","2.5885665569267924","3.6666666666666665","2.5","1.8374115001738103","1","B","4","4","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset03\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset03\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset03\best_runs\run_20260314_100-full"
"mr","05","asset05","0.057304999209901154","-0.09241438250096641","6.0200668896321075","5.7057057057057055","0.3135216382053165","0","X","5","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset05\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset05\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset05\best_runs\run_20260314_100-full"
"mr","04","asset04","-0.11611785095319364","-0.3947671820907075","1.6666666666666667","4.7","0.004115852043484344","0","X","6","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset04\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset04\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset04\best_runs\run_20260314_100-full"
"mr","01","asset01","-0.19318309379197135","4.041757344823954","5.333333333333333","5.6","7.012027708415538","0","X","7","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset01\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset01\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset01\best_runs\run_20260314_100-full"
"mr","02","asset02","-0.3776168574222849","0.7330437749606751","17.666666666666668","20.3","1.4501851819346867","0","X","8","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset02\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset02\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset02\best_runs\run_20260314_100-full"
"mr","07","asset07","-0.45075172266392427","-0.5745604824987426","2.6666666666666665","4.0","0.12878482116720058","0","X","9","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset07\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset07\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset07\best_runs\run_20260314_100-full"
"mr","08","asset08","","0.5206318645273041","0.0","1.0","0.5206318645273041","0","X","10","","Activity kept as reference; full activity included for selection context.","output\cross_asset_scan_v1\mr\asset08\grid_search\best_params.json","output\cross_asset_scan_v1\mr\asset08\best_runs\run_20260314_30-oos","output\cross_asset_scan_v1\mr\asset08\best_runs\run_20260314_100-full"
