workflow_stage,dataset,series,leg,final_cumPnL,pnl_pd_ratio,max_drawdown,source_path
coursework2_stage2_presubmission,part1,series_1,tf,-58966.100000000115,-0.7084064222364711,83237.6700000001,output\coursework_2_stage4_v2_archive\team01_presubmission\part1\per_series_pd.json
coursework2_stage2_presubmission,part1,series_7,garch,11535.350774199993,0.8690673979623369,13273.252225600005,output\coursework_2_stage4_v2_archive\team01_presubmission\part1\per_series_pd.json
coursework2_stage2_presubmission,part1,series_10,mr,30987.0,0.951163361777887,32578.0,output\coursework_2_stage4_v2_archive\team01_presubmission\part1\per_series_pd.json
coursework2_stage2_presubmission,part1,portfolio,portfolio,,-0.28409940574128434,,output\coursework_2_stage4_v2_archive\team01_presubmission\part1\per_series_pd.json
coursework2_stage2_presubmission,part2,series_1,tf,187487.58999999997,3.3294535676524033,56311.82,output\coursework_2_stage4_v2_archive\team01_presubmission\part2\per_series_pd.json
coursework2_stage2_presubmission,part2,series_7,garch,-1183.769039199824,-0.04074265684742237,29054.782647899814,output\coursework_2_stage4_v2_archive\team01_presubmission\part2\per_series_pd.json
coursework2_stage2_presubmission,part2,series_10,mr,17880.0,0.5869559865078909,30462.25,output\coursework_2_stage4_v2_archive\team01_presubmission\part2\per_series_pd.json
coursework2_stage2_presubmission,part2,portfolio,portfolio,,3.3407848322005416,,output\coursework_2_stage4_v2_archive\team01_presubmission\part2\per_series_pd.json
coursework2_stage2_presubmission_preserved,part3_existing,series_1,tf,186898.5700000002,2.8627971381000172,65285.299999999705,output\coursework_2_stage4_v2_archive\team01_presubmission\part3_existing\per_series_pd.json
coursework2_stage2_presubmission_preserved,part3_existing,series_7,garch,25830.609375,2.30907639542168,11186.5546875,output\coursework_2_stage4_v2_archive\team01_presubmission\part3_existing\per_series_pd.json
coursework2_stage2_presubmission_preserved,part3_existing,series_10,mr,7916.5,0.250607406000459,31589.25,output\coursework_2_stage4_v2_archive\team01_presubmission\part3_existing\per_series_pd.json
coursework2_stage2_presubmission_preserved,part3_existing,portfolio,portfolio,,3.249928172271957,,output\coursework_2_stage4_v2_archive\team01_presubmission\part3_existing\per_series_pd.json
