scan_tag,strategy,asset,asset_tag,data_name,selection_mode,metric_key,grid_config,best_params_path,robust_ranking_path,grid_search_dir,best_runs_dir,is_run_dir,is_true_pd_ratio,is_open_pnl_pd_ratio,is_activity_pct,is_final_value,is_return_pct,is_bankrupt,oos_run_dir,oos_true_pd_ratio,oos_open_pnl_pd_ratio,oos_activity_pct,oos_final_value,oos_return_pct,oos_bankrupt,full_run_dir,full_true_pd_ratio,full_open_pnl_pd_ratio,full_activity_pct,full_final_value,full_return_pct,full_bankrupt,is_oos_gap,part2_data_dir,part2_run_dir,part2_true_pd_ratio,part2_open_pnl_pd_ratio,part2_activity_pct,part2_final_value,part2_return_pct,part2_bankrupt
cross_asset_scan_v1,garch,01,asset01,series_1,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset01\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset01\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset01\grid_search,output\cross_asset_scan_v1\garch\asset01\best_runs,output\cross_asset_scan_v1\garch\asset01\best_runs\run_20260314_70-30,-0.09815351838476155,0.015285975376098994,9.714285714285714,993337.444,-0.6662555999999986,False,output\cross_asset_scan_v1\garch\asset01\best_runs\run_20260314_30-oos,0.2720580649950188,0.38109526864957866,12.0,1009177.548,0.9177548000000035,False,output\cross_asset_scan_v1\garch\asset01\best_runs\run_20260314_100-full,-0.12409108654292247,-0.0012683416468866958,7.6,989874.862,-1.0125138000000034,False,0.37021158337978033,DATA\PART2,output\cross_asset_scan_v1\garch\asset01\part2_validation\run_20260314_100-full,-0.08771687927877812,0.10824652788906541,4.9,992078.3159999999,-0.7921684000000151,False
cross_asset_scan_v1,garch,02,asset02,series_2,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset02\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset02\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset02\grid_search,output\cross_asset_scan_v1\garch\asset02\best_runs,output\cross_asset_scan_v1\garch\asset02\best_runs\run_20260314_70-30,-0.6716982690481053,-0.6499200999774641,9.0,930061.5000000002,-6.993849999999979,False,output\cross_asset_scan_v1\garch\asset02\best_runs\run_20260314_30-oos,0.13702761680419537,0.23825646406846912,5.016722408026756,1004740.95,0.4740949999999966,False,output\cross_asset_scan_v1\garch\asset02\best_runs\run_20260314_100-full,-0.2542420038169884,-0.14254226993985228,8.208208208208209,972677.4000000001,-2.7322599999999864,False,0.8087258858523007,DATA\PART2,output\cross_asset_scan_v1\garch\asset02\part2_validation\run_20260314_100-full,0.07293272309980918,0.8891925961179785,2.9,1004606.15,0.46061500000000866,False
cross_asset_scan_v1,garch,03,asset03,series_3,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset03\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset03\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset03\grid_search,output\cross_asset_scan_v1\garch\asset03\best_runs,output\cross_asset_scan_v1\garch\asset03\best_runs\run_20260314_70-30,1.1233845849288142,1.9952699455026512,8.857142857142858,1016800.3886599998,1.6800388659999888,False,output\cross_asset_scan_v1\garch\asset03\best_runs\run_20260314_30-oos,-0.9311685209014546,-0.8193954691012364,4.0,986992.0244000001,-1.3007975599999888,False,output\cross_asset_scan_v1\garch\asset03\best_runs\run_20260314_100-full,-0.09260780171867947,0.41626558519871204,8.4,997169.8253199997,-0.28301746800002414,False,2.054553105830269,DATA\PART2,output\cross_asset_scan_v1\garch\asset03\part2_validation\run_20260314_100-full,2.4632447085592886,2.428579239159683,12.612612612612613,1050961.5078600002,5.096150786000031,False
cross_asset_scan_v1,garch,04,asset04,series_4,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset04\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset04\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset04\grid_search,output\cross_asset_scan_v1\garch\asset04\best_runs,output\cross_asset_scan_v1\garch\asset04\best_runs\run_20260314_70-30,1.167641810268997,1.4282182296296186,8.857142857142858,1090624.798,9.06247979999999,False,output\cross_asset_scan_v1\garch\asset04\best_runs\run_20260314_30-oos,1.9021372481205416,2.5503448519818965,18.333333333333332,1077602.996,7.760299599999998,False,output\cross_asset_scan_v1\garch\asset04\best_runs\run_20260314_100-full,2.3301780413893334,2.8609031173967234,11.7,1180853.3340000003,18.085333400000025,False,0.7344954378515447,DATA\PART2,output\cross_asset_scan_v1\garch\asset04\part2_validation\run_20260314_100-full,0.3140977032227782,0.47057852138218437,16.3,1038902.1959999996,3.8902195999999556,False
cross_asset_scan_v1,garch,05,asset05,series_5,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset05\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset05\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset05\grid_search,output\cross_asset_scan_v1\garch\asset05\best_runs,output\cross_asset_scan_v1\garch\asset05\best_runs\run_20260314_70-30,0.6925721371398703,1.154837653168027,7.428571428571429,1013753.2,1.375320000000002,False,output\cross_asset_scan_v1\garch\asset05\best_runs\run_20260314_30-oos,2.8394132753994232,2.6414698708985096,12.333333333333334,1039470.3999999999,3.9470399999999906,False,output\cross_asset_scan_v1\garch\asset05\best_runs\run_20260314_100-full,3.0966535247898883,4.032007756003918,10.6,1061493.8039999998,6.149380399999971,False,2.146841138259553,DATA\PART2,output\cross_asset_scan_v1\garch\asset05\part2_validation\run_20260314_100-full,-0.9103284807429287,-0.8839202989590003,9.8,921038.5499999999,-7.8961450000000095,False
cross_asset_scan_v1,garch,06,asset06,series_6,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset06\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset06\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset06\grid_search,output\cross_asset_scan_v1\garch\asset06\best_runs,output\cross_asset_scan_v1\garch\asset06\best_runs\run_20260314_70-30,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,-7.19921289999993,False,output\cross_asset_scan_v1\garch\asset06\best_runs\run_20260314_30-oos,-0.46857142857143325,-0.4571428571428581,1.6666666666666667,992286.014,-0.7713986000000062,False,output\cross_asset_scan_v1\garch\asset06\best_runs\run_20260314_100-full,-0.6500196280212188,-0.615311560967948,5.5,947875.6222000004,-5.212437779999957,False,0.44308913514788345,DATA\PART2,output\cross_asset_scan_v1\garch\asset06\part2_validation\run_20260314_100-full,-0.7305278542495113,-0.706545384862198,11.1,879344.9481999996,-12.065505180000036,False
cross_asset_scan_v1,garch,07,asset07,series_7,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset07\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset07\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset07\grid_search,output\cross_asset_scan_v1\garch\asset07\best_runs,output\cross_asset_scan_v1\garch\asset07\best_runs\run_20260314_70-30,0.6118786972706464,2.0447625951168678,5.428571428571429,1003531.2453592601,0.35312453592601933,False,output\cross_asset_scan_v1\garch\asset07\best_runs\run_20260314_30-oos,-0.5051212992931613,-0.36217135166665376,4.0,998811.12409464,-0.11888759053599873,False,output\cross_asset_scan_v1\garch\asset07\best_runs\run_20260314_100-full,0.6118786972706464,2.0447625951168678,3.8,1003531.2453592601,0.35312453592601933,False,1.1169999965638078,DATA\PART2,output\cross_asset_scan_v1\garch\asset07\part2_validation\run_20260314_100-full,-0.6418936863868218,-0.5780991525373661,9.4,989246.6744887998,-1.075332551120023,False
cross_asset_scan_v1,garch,08,asset08,series_8,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset08\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset08\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset08\grid_search,output\cross_asset_scan_v1\garch\asset08\best_runs,output\cross_asset_scan_v1\garch\asset08\best_runs\run_20260314_70-30,-0.048117356107891536,0.42364644717060423,9.285714285714286,998562.7443247997,-0.14372556752002552,False,output\cross_asset_scan_v1\garch\asset08\best_runs\run_20260314_30-oos,-0.38056983156669894,-0.12719515829989048,9.666666666666666,994876.66217,-0.5123337829999963,False,output\cross_asset_scan_v1\garch\asset08\best_runs\run_20260314_100-full,-0.32965342602402387,0.07023391874639699,10.0,986558.7325961996,-1.344126740380036,False,0.3324524754588074,DATA\PART2,output\cross_asset_scan_v1\garch\asset08\part2_validation\run_20260314_100-full,-0.66130735293252,-0.5963044723502529,13.8,957153.1360728004,-4.28468639271996,False
cross_asset_scan_v1,garch,09,asset09,series_9,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset09\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset09\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset09\grid_search,output\cross_asset_scan_v1\garch\asset09\best_runs,output\cross_asset_scan_v1\garch\asset09\best_runs\run_20260314_70-30,-0.1486515379956117,-0.049618434553210126,6.714285714285714,996394.2638000001,-0.36057361999999316,False,output\cross_asset_scan_v1\garch\asset09\best_runs\run_20260314_30-oos,1.5070990058512854,1.3665440675042404,23.0,1032100.92124,3.210092124000008,False,output\cross_asset_scan_v1\garch\asset09\best_runs\run_20260314_100-full,-0.11007219216652728,0.05548792371575965,7.2,997330.0559600001,-0.2669944039999872,False,1.6557505438468971,DATA\PART2,output\cross_asset_scan_v1\garch\asset09\part2_validation\run_20260314_100-full,1.0070136191273977,1.3073583104545596,21.4,1076303.0025499996,7.6303002549999555,False
cross_asset_scan_v1,garch,10,asset10,series_10,robust,true_pd_ratio,configs\grids\single_strat\garch\refined\refined_v1.json,output\cross_asset_scan_v1\garch\asset10\grid_search\best_params.json,output\cross_asset_scan_v1\garch\asset10\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\garch\asset10\grid_search,output\cross_asset_scan_v1\garch\asset10\best_runs,output\cross_asset_scan_v1\garch\asset10\best_runs\run_20260314_70-30,-0.5859698439352088,-0.5257807528414812,8.714285714285714,944113.7999999999,-5.588620000000011,False,output\cross_asset_scan_v1\garch\asset10\best_runs\run_20260314_30-oos,-0.955839492911261,-0.9835437403343567,11.0,941671.9500000002,-5.832804999999985,False,output\cross_asset_scan_v1\garch\asset10\best_runs\run_20260314_100-full,-0.8485147064904817,-0.8203958964866397,9.7,863548.9499999997,-13.645105000000024,False,0.36986964897605223,DATA\PART2,output\cross_asset_scan_v1\garch\asset10\part2_validation\run_20260314_100-full,-0.2156530538265173,-0.0787046900966795,9.6,983312.9499999998,-1.6687050000000148,False
