run_dir,p_ema_short,p_ema_long,p_hurst_min_soft,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260313_IS_001,8,40,0.4,-0.14951058398423653,0.25029797954691174,27.75393419170243,992250.9366403454,0
run_20260313_IS_002,8,40,0.45,-0.14440554527146296,0.25654513066874246,27.75393419170243,992801.1720026664,0
run_20260313_IS_003,8,40,0.5,-0.13778449924162117,0.26465257416526766,27.75393419170243,993458.4661185927,0
run_20260313_IS_004,8,40,0.55,-0.12877377190827466,0.2756746823031198,27.75393419170243,994261.504688936,0
run_20260313_IS_005,8,40,0.6,-0.11573595927413277,0.29163164154676474,27.75393419170243,995264.6829337942,0
run_20260313_IS_006,8,50,0.4,-0.8806414137393892,-0.7534198855831877,9.571428571428571,951107.0856354577,0
run_20260313_IS_007,8,50,0.45,-0.8802923702802039,-0.7534083945843761,9.571428571428571,953030.5191387113,0
run_20260313_IS_008,8,50,0.5,-0.879884506715303,-0.7534489447644237,9.571428571428571,955339.4138621689,0
run_20260313_IS_009,8,50,0.55,-0.8793305238799114,-0.7535142982617747,9.571428571428571,958163.3679016108,0
run_20260313_IS_010,8,50,0.6,-0.8785305196816816,-0.7535652800247572,9.571428571428571,961706.787240775,0
run_20260313_IS_011,8,60,0.4,0.9503700068804467,1.3154527358343597,52.93276108726752,1801917.8161795177,0
run_20260313_IS_012,8,60,0.45,0.9502475306822729,1.315265926829702,52.93276108726752,1767650.561027851,0
run_20260313_IS_013,8,60,0.5,0.9500874512869104,1.3150173404443075,52.93276108726752,1726554.1318674535,0
run_20260313_IS_014,8,60,0.55,0.9498561422256614,1.3146682564932597,52.93276108726752,1676187.431582041,0
run_20260313_IS_015,8,60,0.6,0.9495204113467159,1.314152006338889,52.93276108726752,1613260.5243507829,0
run_20260313_IS_016,8,70,0.4,-0.8380799884774442,-0.723843218382081,10.142857142857142,945396.0787202462,0
run_20260313_IS_017,8,70,0.45,-0.8383538002368666,-0.7242780910319098,10.142857142857142,947458.5556762666,0
run_20260313_IS_018,8,70,0.5,-0.838735787745567,-0.7248817176225887,10.142857142857142,949935.6581082086,0
run_20260313_IS_019,8,70,0.55,-0.839226133535654,-0.7256556357371908,10.142857142857142,952973.4435007622,0
run_20260313_IS_020,8,70,0.6,-0.8399618610291741,-0.7268155021137908,10.142857142857142,956778.1855170565,0
run_20260313_IS_021,8,80,0.4,1.119461984177554,1.7393496529392363,47.21030042918455,1955725.9365660213,0
run_20260313_IS_022,8,80,0.45,1.1194489679047925,1.739331527848813,47.21030042918455,1914731.3703322522,0
run_20260313_IS_023,8,80,0.5,1.1194315708183633,1.7393071532974183,47.21030042918455,1865653.8082840517,0
run_20260313_IS_024,8,80,0.55,1.1194128295444237,1.739279433453651,47.21030042918455,1805751.0987657607,0
run_20260313_IS_025,8,80,0.6,1.1193761351133797,1.739229057218126,47.21030042918455,1730545.1659035124,0
run_20260313_IS_026,10,40,0.4,-0.22269105555663268,0.11264924596175502,24.606580829756794,987962.2477024941,0
run_20260313_IS_027,10,40,0.45,-0.21790714920445323,0.11910662885790828,24.606580829756794,988679.0498179212,0
run_20260313_IS_028,10,40,0.5,-0.2117575920389035,0.12740549034651183,24.606580829756794,989534.0499127652,0
run_20260313_IS_029,10,40,0.55,-0.20318768790223093,0.13895360232702758,24.606580829756794,990586.3037887379,0
run_20260313_IS_030,10,40,0.6,-0.1909228588795371,0.1554697373970688,24.606580829756794,991895.5346462477,0
run_20260313_IS_031,10,50,0.4,-0.09921711050864306,0.34274875808408256,27.467811158798284,994844.1931979172,0
run_20260313_IS_032,10,50,0.45,-0.09451503310619765,0.3482732500192539,27.467811158798284,995276.4440378313,0
run_20260313_IS_033,10,50,0.5,-0.08840924321153755,0.35544364063759704,27.467811158798284,995792.8610152332,0
run_20260313_IS_034,10,50,0.55,-0.08005841543182604,0.36526264929397784,27.467811158798284,996424.5712417088,0
run_20260313_IS_035,10,50,0.6,-0.06802759030532315,0.3793785395214261,27.467811158798284,997211.3212882979,0
run_20260313_IS_036,10,60,0.4,1.1939088977686663,1.690974534643291,50.92989985693848,1528907.6721972954,0
run_20260313_IS_037,10,60,0.45,1.193926567829359,1.6907762849138301,50.92989985693848,1507691.6998107135,0
run_20260313_IS_038,10,60,0.5,1.193928824218554,1.690491638789051,50.92989985693848,1482148.1621770784,0
run_20260313_IS_039,10,60,0.55,1.1939246429972408,1.690097015826498,50.92989985693848,1450837.4483858831,0
