run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260417_IS_001,0.2,0.75,0.5,0.2,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_002,0.2,0.75,0.5,0.3,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_003,0.2,0.75,0.5,0.4,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_004,0.2,0.75,0.5,0.5,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_005,0.2,0.75,0.6,0.2,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_006,0.2,0.75,0.6,0.3,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_007,0.2,0.75,0.6,0.4,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_008,0.2,0.75,0.6,0.5,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_009,0.2,0.75,0.7,0.2,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_010,0.2,0.75,0.7,0.3,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_011,0.2,0.75,0.7,0.4,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_012,0.2,0.75,0.7,0.5,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_013,0.2,0.75,0.8,0.2,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_014,0.2,0.75,0.8,0.3,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_015,0.2,0.75,0.8,0.4,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_016,0.2,0.75,0.8,0.5,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_017,0.2,0.8,0.5,0.2,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_018,0.2,0.8,0.5,0.3,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_019,0.2,0.8,0.5,0.4,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_020,0.2,0.8,0.5,0.5,0.2981594803782356,1.3873413663730545,5.428571428571429,1001717.47867302,0
run_20260417_IS_021,0.2,0.8,0.6,0.2,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_022,0.2,0.8,0.6,0.3,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_023,0.2,0.8,0.6,0.4,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_024,0.2,0.8,0.6,0.5,0.24166052914277356,1.1692472764840804,5.428571428571429,1001525.8223363201,0
run_20260417_IS_025,0.2,0.8,0.7,0.2,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_026,0.2,0.8,0.7,0.3,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_027,0.2,0.8,0.7,0.4,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_028,0.2,0.8,0.7,0.5,0.1941914821479377,1.0045657453275263,5.428571428571429,1001333.70811854,0
run_20260417_IS_029,0.2,0.8,0.8,0.2,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_030,0.2,0.8,0.8,0.3,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_031,0.2,0.8,0.8,0.4,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_032,0.2,0.8,0.8,0.5,0.1537064711333489,0.8758361717239893,5.428571428571429,1001140.8110243601,0
run_20260417_IS_033,0.2,0.85,0.5,0.2,0.07347237209423405,0.7548650033477854,6.714285714285714,1000511.8043459,0
run_20260417_IS_034,0.2,0.85,0.5,0.3,0.07347237209423405,0.7548650033477854,6.714285714285714,1000511.8043459,0
run_20260417_IS_035,0.2,0.85,0.5,0.4,0.07347237209423405,0.7548650033477854,6.714285714285714,1000511.8043459,0
run_20260417_IS_036,0.2,0.85,0.5,0.5,0.07347237209423405,0.7548650033477854,6.714285714285714,1000511.8043459,0
run_20260417_IS_037,0.2,0.85,0.6,0.2,0.010252803389645826,0.5814537666201458,6.714285714285714,1000079.5634646999,0
run_20260417_IS_038,0.2,0.85,0.6,0.3,0.010252803389645826,0.5814537666201458,6.714285714285714,1000079.5634646999,0
run_20260417_IS_039,0.2,0.85,0.6,0.4,0.010252803389645826,0.5814537666201458,6.714285714285714,1000079.5634646999,0
run_20260417_IS_040,0.2,0.85,0.6,0.5,0.010252803389645826,0.5814537666201458,6.714285714285714,1000079.5634646999,0
run_20260417_IS_041,0.2,0.85,0.7,0.2,-0.04124306604916739,0.4525249920574766,6.714285714285714,999647.1850224799,0
